,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary
301,Jason Reitman,Carrie Coon,Finn Wolfhard,Mckenna Grace,Comedy Fantasy,ghostbusters: afterlife,Carrie Coon Finn Wolfhard Mckenna Grace Jason Reitman Comedy Fantasy
302,Reinaldo Marcus Green,Will Smith,Aunjanue Ellis,Saniyya Sidney,Drama,king richard,Will Smith Aunjanue Ellis Saniyya Sidney Reinaldo Marcus Green Drama
303,Mike Mills,Joaquin Phoenix,Gaby Hoffmann,Woody Norman,Drama,c'mon c'mon,Joaquin Phoenix Gaby Hoffmann Woody Norman Mike Mills Drama
304,"Byron Howard, Jared Bush, Chasire Castro Smith",Stephanie Beatriz,Wilmer Valderrama,Angie Cepeda,Family Music Adventure Animation Fantasy,encanto,"Stephanie Beatriz Wilmer Valderrama Angie Cepeda Byron Howard, Jared Bush, Chasire Castro Smith Family Music Adventure Animation Fantasy"
305,Ridley Scott,Lady Gaga,Adam Driver,Jared Leto,Thriller Drama Crime,house of gucci,Lady Gaga Adam Driver Jared Leto Ridley Scott Thriller Drama Crime
306,Nora Fingscheidt,Sandra Bullock,Viola Davis,Aisling Franciosi,Drama,the unforgivable,Sandra Bullock Viola Davis Aisling Franciosi Nora Fingscheidt Drama
307,Ric Roman Waugh,Stephan James,J. K. Simmons,Uzo Aduba,Drama,national champions,Stephan James J. K. Simmons Uzo Aduba Ric Roman Waugh Drama
308,Johannes Roberts,Kaya Scodelario,Robbie Amell,Hannah John-Kamen,Horror Action Mystery,resident evil: welcome to raccoon city,Kaya Scodelario Robbie Amell Hannah John-Kamen Johannes Roberts Horror Action Mystery
309,Halle Berry,Halle Berry,Shamier Anderson,Adan Canto,Drama,bruised,Halle Berry Shamier Anderson Adan Canto Halle Berry Drama
310,Stephen Karam,Richard Jenkins,Jayne Houdyshell,Amy Schumer,Drama,the humans,Richard Jenkins Jayne Houdyshell Amy Schumer Stephen Karam Drama
311,Paul Thomas Anderson,Bradley Cooper,Cooper Hoffman,Maya Rudolph,Drama,licorice pizza,Bradley Cooper Cooper Hoffman Maya Rudolph Paul Thomas Anderson Drama
312,Swinton O. Scott III,Brady Noon,Ethan William Childress,Chris Diamantopoulos,Comedy Family,diary of a wimpy kid,Brady Noon Ethan William Childress Chris Diamantopoulos Swinton O. Scott III Comedy Family
313,Michael Pierce,Riz Ahmed,Octavia Spencer,Janina Gavankar,Science Fiction,encounter,Riz Ahmed Octavia Spencer Janina Gavankar Michael Pierce Science Fiction
314,Sean Baker,Simon Rex,Bree Elrod,Suzanna Son,Comedy Drama,red rocket,Simon Rex Bree Elrod Suzanna Son Sean Baker Comedy Drama
316,Adam McKay,Leonardo DiCaprio,Jennifer Lawrence,Rob Morgan,Comedy Science Fiction Drama,don't look up,Leonardo DiCaprio Jennifer Lawrence Rob Morgan Adam McKay Comedy Science Fiction Drama
317,Steven Spielberg,Rachel Zegler,Ansel Elgort,Ariana DeBose,Crime Drama Romance,west side story,Rachel Zegler Ansel Elgort Ariana DeBose Steven Spielberg Crime Drama Romance
319,Tarik Saleh,Chris Pine,Ben Foster,Gillian Jacobs,Thriller Action Crime,violence of action,Chris Pine Ben Foster Gillian Jacobs Tarik Saleh Thriller Action Crime
320,Jon Watts,Tom Holland,Zendaya,Benedict Cumberbatch,Science Fiction Action Adventure Fantasy,spider-man: no way home,Tom Holland Zendaya Benedict Cumberbatch Jon Watts Science Fiction Action Adventure Fantasy
321,Guillermo del Toro,Bradley Cooper,Cate Blanchett,Toni Collette,Drama,nightmare alley,Bradley Cooper Cate Blanchett Toni Collette Guillermo del Toro Drama
322,Maggie Gyllenhaal,Olivia Colman,Jessie Buckley,Dakota Johnson,Drama,the lost daughter,Olivia Colman Jessie Buckley Dakota Johnson Maggie Gyllenhaal Drama
323,Benjamin Cleary,Mahershala Ali,Naomie Harris,Glenn Close,Drama Science Fiction,swan song,Mahershala Ali Naomie Harris Glenn Close Benjamin Cleary Drama Science Fiction
324,George Clooney,Ben Affleck,Tye Sheridan,Lily Rabe,Drama,the tender bar,Ben Affleck Tye Sheridan Lily Rabe George Clooney Drama
325,Lana Wachowski,Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II,Action Adventure Thriller Science Fiction,the matrix resurrections,Keanu Reeves Carrie-Anne Moss Yahya Abdul-Mateen II Lana Wachowski Action Adventure Thriller Science Fiction
326,Garth Jennings,Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,Family Comedy Animation Drama Music,sing 2,Matthew McConaughey Reese Witherspoon Scarlett Johansson Garth Jennings Family Comedy Animation Drama Music
327,Matthew Vaughn,Ralph Fiennes,Gemma Arterton,Rhys Ifans,War Action Thriller Adventure,the king's man,Ralph Fiennes Gemma Arterton Rhys Ifans Matthew Vaughn War Action Thriller Adventure
328,Joel Coen,Denzel Washington,Frances McDormand,Corey Hawkins,Drama Thriller War,the tragedy of macbeth,Denzel Washington Frances McDormand Corey Hawkins Joel Coen Drama Thriller War
329,Erwin brothers,Zachary Levi,Anna Paquin,Dennis Quaid,Drama,american underdog,Zachary Levi Anna Paquin Dennis Quaid Erwin brothers Drama
330,Joe Wright,Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.,Drama Comedy History Romance,cyrano,Peter Dinklage Haley Bennett Kelvin Harrison Jr. Joe Wright Drama Comedy History Romance
